report_date,net
2018-02-13,-29318.0
2018-02-20,-38767.0
2018-02-27,-32843.0
2018-03-06,-4636.0
2018-03-13,-11206.0
2018-03-20,-24365.0
2018-03-27,-39676.0
2018-04-03,-40610.0
2018-04-10,-20425.0
2018-04-17,-21147.0
2018-04-24,-28417.0
2018-05-01,-3775.0
2018-05-08,16379.0
2018-05-15,8340.0
2018-05-22,17996.0
2018-05-29,27264.0
2018-06-05,22345.0
2018-06-12,23162.0
2018-06-19,-1257.0
2018-06-26,-3851.0
2018-07-03,9938.0
2018-07-10,7566.0
2018-07-17,11602.0
2018-07-24,20898.0
2018-07-31,51639.0
2018-08-07,63219.0
2018-08-14,60592.0
2018-08-21,56607.0
2018-08-28,46821.0
2018-09-04,38225.0
2018-09-11,18427.0
2018-09-18,3468.0
2018-09-25,2359.0
2018-10-02,-5300.0
2018-10-09,-7957.0
2018-10-16,-5506.0
2018-10-23,-15418.0
2018-10-30,-30779.0
2018-11-06,-29119.0
2018-11-13,-13129.0
2018-11-20,-24158.0
2018-11-27,-33286.0
2018-12-04,-17673.0
2018-12-11,-11794.0
2018-12-18,5692.0
2018-12-24,-3546.0
2018-12-31,-18228.0
2019-01-08,-4619.0
2019-01-15,-659.0
2019-01-22,1040.0
2019-01-29,-11664.0
2019-02-05,3137.0
2019-02-12,-3846.0
2019-02-19,-33417.0
2019-02-26,-51602.0
2019-03-05,-63754.0
2019-03-12,-63074.0
2019-03-19,-61268.0
2019-03-26,-51868.0
2019-04-02,-41947.0
2019-04-09,-39898.0
2019-04-16,-53287.0
2019-04-23,-56260.0
2019-04-30,-69231.0
2019-05-07,-63012.0
2019-05-14,-56357.0
2019-05-21,-21613.0
2019-05-28,-8479.0
2019-06-04,-1793.0
2019-06-11,11786.0
2019-06-18,36250.0
2019-06-25,39219.0
2019-07-02,45411.0
2019-07-09,38307.0
2019-07-16,32004.0
2019-07-23,22154.0
2019-07-30,27661.0
2019-08-06,18814.0
2019-08-13,17785.0
2019-08-20,12418.0
2019-08-27,13665.0
2019-09-03,-5246.0
2019-09-10,3541.0
2019-09-17,5454.0
2019-09-24,2812.0
2019-10-01,-562.0
2019-10-08,-9127.0
2019-10-15,-4325.0
2019-10-22,19397.0
2019-10-29,14393.0
2019-11-05,7304.0
2019-11-12,6870.0
2019-11-19,4905.0
2019-11-26,18115.0
2019-12-03,25998.0
2019-12-10,17007.0
2019-12-17,31299.0
2019-12-24,20161.0
2019-12-31,30563.0
2020-01-07,30225.0
2020-01-14,34692.0
2020-01-21,45919.0
2020-01-28,47113.0
2020-02-04,51873.0
2020-02-11,42272.0
2020-02-18,60302.0
2020-02-25,40435.0
2020-03-03,19776.0
2020-03-10,21399.0
2020-03-17,3366.0
2020-03-24,26341.0
2020-03-31,44211.0
2020-04-07,31966.0
2020-04-14,29786.0
2020-04-21,28088.0
2020-04-28,16384.0
2020-05-05,4049.0
2020-05-12,-2475.0
2020-05-19,-24152.0
2020-05-26,-13542.0
2020-06-02,-8798.0
2020-06-09,-13198.0
2020-06-16,-19383.0
2020-06-23,-44942.0
2020-06-30,-29785.0
2020-07-07,-28002.0
2020-07-14,11138.0
2020-07-21,14861.0
2020-07-28,17418.0
2020-08-04,16149.0
2020-08-11,-401.0
2020-08-18,5381.0
2020-08-25,15238.0
2020-09-01,47050.0
2020-09-08,38129.0
2020-09-15,26779.0
2020-09-22,27474.0
2020-09-29,23794.0
2020-10-06,46432.0
2020-10-13,52548.0
2020-10-20,59368.0
2020-10-27,58298.0
2020-11-03,54453.0
2020-11-10,41671.0
2020-11-17,22573.0
2020-11-24,31372.0
2020-12-01,10667.0
2020-12-08,12437.0
2020-12-15,22992.0
2020-12-21,19130.0
2020-12-29,30316.0
2021-01-05,39896.0
2021-01-12,34682.0
2021-01-19,40729.0
2021-01-26,40109.0
2021-02-02,36833.0
2021-02-09,32549.0
2021-02-16,36313.0
2021-02-23,39743.0
2021-03-02,42229.0
2021-03-09,37240.0
2021-03-16,29183.0
2021-03-23,26981.0
2021-03-30,5762.0
2021-04-06,13768.0
2021-04-13,9439.0
2021-04-20,26072.0
2021-04-27,35607.0
2021-05-04,32569.0
2021-05-11,28163.0
2021-05-18,28226.0
2021-05-25,17287.0
2021-06-01,17618.0
2021-06-08,16435.0
2021-06-15,9317.0
2021-06-22,21570.0
2021-06-29,17412.0
2021-07-06,6537.0
2021-07-13,-2683.0
2021-07-20,20471.0
2021-07-27,25134.0
2021-08-03,37356.0
2021-08-10,38483.0
2021-08-17,40473.0
2021-08-24,26788.0
2021-08-31,23239.0
2021-09-07,17332.0
2021-09-14,2188.0
2021-09-21,-821.0
2021-09-28,-6480.0
2021-10-05,3175.0
2021-10-12,-11349.0
2021-10-19,-18056.0
2021-10-26,-5996.0
2021-11-02,9401.0
2021-11-09,10378.0
2021-11-16,23701.0
2021-11-23,27533.0
2021-11-30,11424.0
2021-12-07,9532.0
2021-12-14,2444.0
2021-12-21,788.0
2021-12-28,-355.0
2022-01-04,-5510.0
2022-01-11,-13792.0
2022-01-18,-10340.0
2022-01-25,797.0
2022-02-01,-12755.0
2022-02-08,-17003.0
2022-02-15,-21390.0
2022-02-22,-3554.0
2022-03-01,9035.0
2022-03-08,23026.0
2022-03-15,22330.0
2022-03-22,19411.0
2022-03-29,20000.0
2022-04-05,26603.0
2022-04-12,29211.0
2022-04-19,28061.0
2022-04-26,26315.0
2022-05-03,24400.0
2022-05-10,26084.0
2022-05-17,31425.0
2022-05-24,33169.0
2022-05-31,28684.0
2022-06-07,25805.0
2022-06-14,20499.0
2022-06-21,17852.0
2022-06-28,9251.0
2022-07-05,5719.0
2022-07-12,-2356.0
2022-07-19,-4183.0
2022-07-26,-8358.0
2022-08-02,-10541.0
2022-08-09,-15671.0
2022-08-16,-13533.0
2022-08-23,-17453.0
2022-08-30,-11297.0
2022-09-06,-10179.0
2022-09-13,-10577.0
2022-09-20,-6363.0
2022-09-27,1850.0
2022-10-04,3680.0
2022-10-11,-5039.0
2022-10-18,-7020.0
2022-10-25,-17157.0
2022-11-01,-19153.0
2022-11-08,-22055.0
2022-11-15,-26930.0
2022-11-22,-33138.0
2022-11-29,-33041.0
2022-12-06,-41907.0
2022-12-13,-42917.0
2022-12-20,-40791.0
2022-12-27,-37319.0
2023-01-03,-33465.0
2023-01-10,-43847.0
2023-01-17,-45713.0
2023-01-24,-53864.0
2023-01-31,-40814.0
2023-02-07,-49556.0
2023-02-14,-39271.0
2023-02-21,-51483.0
2023-02-28,-68919.0
2023-03-07,-77322.0
2023-03-14,-71852.0
2023-03-21,-64125.0
2023-03-28,-65462.0
2023-04-04,-66114.0
2023-04-11,-73212.0
2023-04-18,-78245.0
2023-04-25,-92551.0
2023-05-02,-102365.0
2023-05-09,-95288.0
2023-05-16,-92947.0
2023-05-23,-100622.0
2023-05-30,-107489.0
2023-06-06,-101371.0
2023-06-13,-95875.0
2023-06-20,-72546.0
2023-06-27,-43760.0
2023-07-03,-44960.0
2023-07-11,-42198.0
2023-07-18,-43097.0
2023-07-25,-25077.0
2023-08-01,-34904.0
2023-08-08,-38170.0
2023-08-15,-48293.0
2023-08-22,-53977.0
2023-08-29,-61368.0
2023-09-05,-58321.0
2023-09-12,-64526.0
2023-09-19,-72019.0
2023-09-26,-73607.0
2023-10-03,-75254.0
2023-10-10,-83217.0
2023-10-17,-84150.0
2023-10-24,-73628.0
2023-10-31,-82652.0
2023-11-07,-69300.0
2023-11-14,-70298.0
2023-11-21,-89840.0
2023-11-28,-101967.0
2023-12-05,-73249.0
2023-12-12,-46836.0
2023-12-19,-43319.0
2023-12-26,-37343.0
2024-01-02,-38436.0
2024-01-09,-38890.0
2024-01-16,-49853.0
2024-01-23,-47416.0
2024-01-30,-39627.0
2024-02-06,-41598.0
2024-02-13,-31243.0
2024-02-20,-46046.0
2024-02-27,-36593.0
2024-03-05,-46951.0
2024-03-12,-56434.0
2024-03-19,-59230.0
2024-03-26,-65027.0
2024-04-02,-63505.0
2024-04-09,-55408.0
2024-04-16,-68101.0
2024-04-23,-51210.0
2024-04-30,-26719.0
2024-05-07,-22623.0
2024-05-14,-11656.0
2024-05-21,-19532.0
2024-05-28,-17268.0
2024-06-04,-21319.0
2024-06-11,-34264.0
2024-06-18,-41625.0
2024-06-25,-52309.0
2024-07-02,-49729.0
2024-07-09,-46956.0
2024-07-16,-51257.0
2024-07-23,-50008.0
2024-07-30,-53659.0
2024-08-06,-48247.0
2024-08-13,-48578.0
2024-08-20,-34142.0
2024-08-27,-40549.0
2024-09-03,-34657.0
2024-09-10,-20040.0
2024-09-17,-18202.0
2024-09-24,-17717.0
2024-10-01,-15620.0
2024-10-08,-20243.0
2024-10-15,-18272.0
2024-10-22,-23850.0
2024-10-29,-29470.0
2024-11-05,-28964.0
2024-11-12,-43648.0
2024-11-19,-52441.0
2024-11-26,-59429.0
2024-12-03,-68824.0
2024-12-10,-66574.0
2024-12-17,-84307.0
2024-12-24,-92730.0
2024-12-31,-81804.0
2025-01-07,-84168.0
2025-01-14,-88715.0
2025-01-21,-85248.0
2025-01-28,-104500.0
2025-02-04,-84976.0
2025-02-11,-75384.0
2025-02-18,-60384.0
2025-02-25,-72971.0
2025-03-04,-94483.0
2025-03-11,-89389.0
2025-03-18,-85537.0
2025-03-25,-94086.0
2025-04-01,-111893.0
2025-04-08,-101074.0
2025-04-15,-95038.0
2025-04-22,-96035.0
2025-04-29,-124641.0
2025-05-06,-115656.0
2025-05-13,-127687.0
2025-05-20,-108398.0
2025-05-27,-104225.0
2025-06-03,-102302.0
2025-06-10,-97326.0
2025-06-17,-89128.0
2025-06-24,-71006.0
2025-07-01,-71897.0
2025-07-08,-65238.0
2025-07-15,-70928.0
2025-07-22,-59661.0
2025-07-29,-73964.0
2025-08-05,-84228.0
