report_date,net
2009-09-08,-3740.0
2009-09-15,-8520.0
2009-09-22,-10682.0
2009-09-29,-11133.0
2009-10-06,-15385.0
2009-10-13,-21813.0
2009-10-20,-22800.0
2009-10-27,-14087.0
2009-11-03,-18719.0
2009-11-09,-18401.0
2009-11-17,-15445.0
2009-11-24,-13075.0
2009-12-01,-14454.0
2009-12-08,-18872.0
2009-12-15,-18918.0
2009-12-22,-8924.0
2009-12-29,-8576.0
2010-01-05,-7812.0
2010-01-12,-3852.0
2010-01-19,-4312.0
2010-01-26,-2908.0
2010-02-02,-2395.0
2010-02-09,-1029.0
2010-02-16,-264.0
2010-02-23,-596.0
2010-03-02,-271.0
2010-03-09,1367.0
2010-03-16,1758.0
2010-03-23,-3130.0
2010-03-30,-3353.0
2010-04-06,-3569.0
2010-04-13,-2744.0
2010-04-20,-4039.0
2010-04-27,-4965.0
2010-05-04,-7617.0
2010-05-11,-7993.0
2010-05-18,-7374.0
2010-05-25,-5244.0
2010-06-01,-6657.0
2010-06-08,-7834.0
2010-06-15,-9954.0
2010-06-22,-8999.0
2010-06-29,-9164.0
2010-07-06,-9373.0
2010-07-13,-14779.0
2010-07-20,-16491.0
2010-07-27,-11363.0
2010-08-03,-13352.0
2010-08-10,-15235.0
2010-08-17,-17097.0
2010-08-24,-13962.0
2010-08-31,-11969.0
2010-09-07,-11521.0
2010-09-14,-14929.0
2010-09-21,-15513.0
2010-09-28,-13064.0
2010-10-05,-14061.0
2010-10-12,-17176.0
2010-10-19,-17963.0
2010-10-26,-15427.0
2010-11-02,-13345.0
2010-11-09,-12433.0
2010-11-16,-9600.0
2010-11-23,-15146.0
2010-11-30,-12800.0
2010-12-07,-11874.0
2010-12-14,-9914.0
2010-12-21,-11128.0
2010-12-28,-18325.0
2011-01-04,-21396.0
2011-01-11,-21398.0
2011-01-18,-22047.0
2011-01-25,-23127.0
2011-02-01,-23236.0
2011-02-08,-14849.0
2011-02-15,-8755.0
2011-02-22,-11102.0
2011-03-01,-9382.0
2011-03-08,-9703.0
2011-03-15,-9023.0
2011-03-22,2781.0
2011-03-29,4101.0
2011-04-05,4450.0
2011-04-12,2556.0
2011-04-19,-3434.0
2011-04-26,-8236.0
2011-05-03,-11600.0
2011-05-10,-11470.0
2011-05-17,-7234.0
2011-05-24,-20351.0
2011-05-31,-17952.0
2011-06-07,-17164.0
2011-06-14,-21489.0
2011-06-21,-22598.0
2011-06-28,-22900.0
2011-07-05,-16040.0
2011-07-12,-20772.0
2011-07-19,-16542.0
2011-07-26,-15929.0
2011-08-02,-9941.0
2011-08-09,-343.0
2011-08-16,-831.0
2011-08-23,-15040.0
2011-08-30,-13397.0
2011-09-06,-14939.0
2011-09-13,-17175.0
2011-09-20,-18222.0
2011-09-27,-5295.0
2011-10-04,-6313.0
2011-10-11,-13327.0
2011-10-18,-12087.0
2011-10-25,-4804.0
2011-11-01,-1950.0
2011-11-08,-6019.0
2011-11-15,-2991.0
2011-11-22,5376.0
2011-11-29,775.0
2011-12-06,1053.0
2011-12-13,-8254.0
2011-12-20,-7145.0
2011-12-27,-10624.0
2012-01-03,-14174.0
2012-01-10,-20213.0
2012-01-17,-17305.0
2012-01-24,-17749.0
2012-01-31,-18276.0
2012-02-07,-18476.0
2012-02-14,-17545.0
2012-02-21,-4678.0
2012-02-28,-9483.0
2012-03-06,-7630.0
2012-03-13,-16411.0
2012-03-20,-14543.0
2012-03-27,-29627.0
2012-04-03,-26337.0
2012-04-10,-17534.0
2012-04-17,-16948.0
2012-04-24,-20238.0
2012-05-01,-27945.0
2012-05-08,-36609.0
2012-05-15,-38975.0
2012-05-22,-24462.0
2012-05-29,-23631.0
2012-06-05,-19204.0
2012-06-12,-13222.0
2012-06-19,-2666.0
2012-06-26,-24208.0
2012-07-03,-36024.0
2012-07-10,-44481.0
2012-07-17,-61052.0
2012-07-24,-68476.0
2012-07-31,-61242.0
2012-08-07,-50085.0
2012-08-14,-63082.0
2012-08-21,-58038.0
2012-08-28,-64349.0
2012-09-04,-67327.0
2012-09-11,-84869.0
2012-09-18,-92103.0
2012-09-25,-95196.0
2012-10-02,-91886.0
2012-10-09,-88123.0
2012-10-16,-87418.0
2012-10-23,-90097.0
2012-10-30,-82213.0
2012-11-06,-86360.0
2012-11-13,-70803.0
2012-11-20,-77870.0
2012-11-27,-94824.0
2012-12-04,-109784.0
2012-12-11,-107954.0
2012-12-18,-95038.0
2012-12-24,-89035.0
2012-12-31,-78279.0
2013-01-08,-83180.0
2013-01-15,-82366.0
2013-01-22,-88062.0
2013-01-29,-104284.0
2013-02-05,-107861.0
2013-02-12,-92444.0
2013-02-19,-88140.0
2013-02-26,-95189.0
2013-03-05,-80143.0
2013-03-12,-68358.0
2013-03-19,-84400.0
2013-03-26,-63583.0
2013-04-02,-68273.0
2013-04-09,-69653.0
2013-04-16,-89698.0
2013-04-23,-70373.0
2013-04-30,-64335.0
2013-05-07,-57050.0
2013-05-14,-56427.0
2013-05-21,-53613.0
2013-05-28,-61686.0
2013-06-04,-71636.0
2013-06-11,-68060.0
2013-06-18,-41043.0
2013-06-25,-24294.0
2013-07-02,-14760.0
2013-07-09,-19565.0
2013-07-16,-31596.0
2013-07-23,-59155.0
2013-07-30,-71600.0
2013-08-06,-104397.0
2013-08-13,-113144.0
2013-08-20,-116317.0
2013-08-27,-110222.0
2013-09-03,-103888.0
2013-09-10,-99458.0
2013-09-17,-91017.0
2013-09-24,-81534.0
2013-10-01,-81942.0
2013-10-08,-72250.0
2013-10-15,-63614.0
2013-10-22,-43297.0
2013-10-29,-39673.0
2013-11-05,-41908.0
2013-11-12,-44525.0
2013-11-19,-54855.0
2013-11-26,-60024.0
2013-12-03,-62050.0
2013-12-10,-73332.0
2013-12-17,-62637.0
2013-12-24,-38125.0
2013-12-31,-39992.0
2014-01-07,-47472.0
2014-01-14,-71496.0
2014-01-21,-64306.0
2014-01-28,-65504.0
2014-02-04,-51230.0
2014-02-11,-41108.0
2014-02-18,-14923.0
